cloud,attempt,accepted,reason,iterations,predictor_residual,final_residual,predictor_distance,corrector_distance
rank2_best,154,1,converged,2,4.2760908895859255e-05,7.030986489627492e-10,0.008848971374255377,1.9309371676954172e-05
rank2_best,155,1,converged,2,0.000278638593896503,6.051968789725421e-09,0.011880548370757188,0.000139824643981232
rank2_best,156,1,converged,2,7.35480843632801e-05,3.1100428397113034e-10,0.007633785305458617,3.533687294735644e-05
rank2_best,157,1,converged,2,0.00011089215375019887,2.1052653851579349e-10,0.010300813646194083,5.060379680807771e-05
rank2_best,158,1,converged,3,0.000167311407546191,1.5374138185118057e-09,0.010499419607411494,8.229704382233151e-05
rank2_best,159,1,converged,2,0.00025999241398489293,3.3271893574240016e-09,0.010927715911744629,0.00013080860429099598
rank2_best,160,1,converged,2,0.00015450011449136925,3.297764149556133e-09,0.009914800287580152,7.710420433515199e-05
rank2_best,161,1,converged,2,0.00010275329208802152,4.043097018959246e-09,0.011027052141482372,5.2034782197123055e-05
rank2_best,162,1,converged,2,0.00017600382682306126,5.561046473980145e-09,0.011942052111162277,8.139530576726835e-05
rank2_best,163,1,converged,2,9.17712684827845e-05,2.684182785129245e-09,0.008235207460045295,4.4465715169854654e-05
rank2_best,164,1,converged,2,8.72621151144859e-05,4.3813910160461295e-09,0.011629710304192176,3.940410533786642e-05
rank2_best,165,1,converged,2,0.00027184493368068326,4.471433023432399e-09,0.011692716683332166,0.00012612993528016592
rank2_best,166,1,converged,2,5.5283850289414086e-05,2.8628740744255567e-09,0.010632735029663576,3.010758279861088e-05
rank2_best,167,1,converged,3,6.027767313652249e-05,4.313712912595382e-10,0.011258862492955659,3.2132339435210194e-05
rank2_best,168,1,converged,2,9.185458521915141e-05,1.3780899245659392e-08,0.008719457183903368,4.6611478097859985e-05
rank2_best,169,1,converged,2,0.0003273878149798921,5.3265025386676344e-09,0.01125567551205327,0.00016290070302456516
rank2_best,170,1,converged,2,0.00027050399874829913,3.804999624838772e-10,0.01090398920080594,0.00012750077819198083
rank2_best,171,1,converged,2,7.622811391923248e-05,1.2623497200374104e-08,0.008245549481458943,3.8845308214629144e-05
rank2_best,172,1,converged,2,0.00014777599569588292,1.1608662629894297e-09,0.00933693456600013,7.061468293546634e-05
rank2_best,173,1,converged,2,0.00036785522965438394,1.0323408260003748e-08,0.0117694275759434,0.0001800394936572796
rank2_best,174,1,converged,2,0.0003546489135542414,8.034774996391044e-09,0.01133783846208801,0.00017617229023256494
rank2_best,175,1,converged,2,0.00015167451852852917,5.432980996753397e-10,0.007817959523375086,7.3364935877306e-05
rank2_best,176,1,converged,2,5.135394041350477e-05,2.1130974644537008e-10,0.005632017980046193,2.3664525172780927e-05
rank2_best,177,1,converged,3,0.0003627681329900344,4.427610646864938e-09,0.011073231807972104,0.00016636724530262362
rank2_best,178,1,converged,2,0.00032178396851937615,7.953798403506028e-09,0.011756220800492757,0.00015656933110769208
rank2_best,179,1,converged,2,9.842883274009745e-05,1.5660147310928144e-09,0.00740562415118486,4.5147004371061117e-05
rank2_best,180,1,converged,2,0.00016707837433169374,7.107912224289786e-10,0.00976751635895436,8.189123614060775e-05
rank2_best,181,1,converged,2,0.0001295371287611378,1.6081215632909932e-09,0.009806559362226772,6.447779958208026e-05
rank2_best,182,1,converged,2,0.00011879331876781271,1.0061295999589228e-09,0.011947637670293238,5.361465364651853e-05
rank2_best,183,1,converged,3,0.00017592260249116933,1.3524756698310773e-09,0.0100413737687388,8.397665954184983e-05
rank2_best,184,1,converged,2,0.0002553668049694539,4.184677824721896e-09,0.01089843985069295,0.00011882054105015497
rank2_best,185,1,converged,2,0.00018064911679227982,3.612210083026198e-10,0.011871469589357335,9.133487777210197e-05
rank2_best,186,1,converged,2,5.3070217483829426e-05,5.023548191911966e-10,0.011723695154583803,2.4808590664011958e-05
rank2_best,187,1,converged,1,5.536351560756712e-06,1.9073315965531198e-08,0.009630951022925991,2.5460793531318e-06
rank2_best,188,1,converged,2,9.074277662215228e-05,2.1985424635051758e-10,0.006864133026462753,4.457456879141996e-05
rank2_best,189,1,converged,2,6.676041525703658e-05,6.436426209235528e-09,0.011459470367053377,3.5776715462889994e-05
rank2_best,190,1,converged,2,0.0002464048065740581,5.296569066414557e-10,0.011233035202403815,0.000111648707804189
rank2_best,191,1,converged,3,0.00023006638255528884,4.969468690494951e-10,0.011746711419467176,0.0001057619635651291
rank2_best,192,1,converged,2,5.9138091696185186e-05,9.038812208294874e-10,0.009829790608881435,2.9486933438290782e-05
rank4_best,1,1,converged,2,5.6354691034988396e-05,3.048647656287517e-09,0.00652183510393401,4.470142896967425e-05
rank4_best,2,1,converged,2,9.934737393375761e-05,1.9874386707734158e-08,0.01176806012364847,5.701517352932853e-05
rank4_best,3,1,converged,2,2.0840578655823436e-05,2.72570556834949e-10,0.00558667168652821,1.3958621723461436e-05
